PROVINCE,GEO_NAME,DIM: Household total income groups (14),DIM: Household type including census family structure (16),DIM: Housing suitability (3),DIM: Dwelling condition (3),DIM: Shelter-cost-to-income ratio (5),Dim: Tenure (4): Member ID: [1]: Total - Tenure,Fraction of Total
BC,Chilliwack,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,2320,0.809773124
BC,Chilliwack,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,320,0.111692845
BC,Chilliwack,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,220,0.076788831
BC,Chilliwack,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,2620,1
BC,Chilliwack,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,2210,0.84351145
BC,Chilliwack,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,210,0.080152672
BC,Chilliwack,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,200,0.076335878
BC,Chilliwack,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,2275,1
BC,Chilliwack,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,2005,0.881318681
BC,Chilliwack,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,100,0.043956044
BC,Chilliwack,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,170,0.074725275
BC,Chilliwack,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,11025,1.000453515
BC,Chilliwack,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,10035,0.910204082
BC,Chilliwack,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,240,0.021768707
BC,Chilliwack,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,755,0.068480726
BC,Abbotsford - Mission,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,1690,0.99704142
BC,Abbotsford - Mission,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,20,0.01183432
BC,Abbotsford - Mission,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,1570,0.928994083
BC,Abbotsford - Mission,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,95,0.056213018
BC,Abbotsford - Mission,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,3805,1
BC,Abbotsford - Mission,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,615,0.161629435
BC,Abbotsford - Mission,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,3160,0.830486202
BC,Abbotsford - Mission,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,30,0.007884363
BC,Abbotsford - Mission,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,4880,1.00102459
BC,Abbotsford - Mission,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,1985,0.406762295
BC,Abbotsford - Mission,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,2865,0.587090164
BC,Abbotsford - Mission,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,35,0.007172131
BC,Abbotsford - Mission,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,4975,0.998994975
BC,Abbotsford - Mission,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,3065,0.616080402
BC,Abbotsford - Mission,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,1865,0.374874372
BC,Abbotsford - Mission,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,40,0.008040201
BC,Abbotsford - Mission,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,5015,1
BC,Abbotsford - Mission,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,3420,0.681954138
BC,Abbotsford - Mission,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,1515,0.302093719
BC,Abbotsford - Mission,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,80,0.015952144
BC,Abbotsford - Mission,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,4670,1
BC,Abbotsford - Mission,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,3425,0.733404711
BC,Abbotsford - Mission,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,1175,0.251605996
BC,Abbotsford - Mission,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,70,0.014989293
BC,Abbotsford - Mission,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,4700,1
BC,Abbotsford - Mission,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,3600,0.765957447
BC,Abbotsford - Mission,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,1065,0.226595745
BC,Abbotsford - Mission,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,35,0.007446809
BC,Abbotsford - Mission,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,4340,1
BC,Abbotsford - Mission,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,3475,0.800691244
BC,Abbotsford - Mission,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,825,0.190092166
BC,Abbotsford - Mission,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,40,0.00921659
BC,Abbotsford - Mission,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,4095,1
BC,Abbotsford - Mission,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,3415,0.833943834
BC,Abbotsford - Mission,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,615,0.15018315
BC,Abbotsford - Mission,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,65,0.015873016
BC,Abbotsford - Mission,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,3685,1.001356852
BC,Abbotsford - Mission,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,3260,0.884667571
BC,Abbotsford - Mission,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,345,0.093622795
BC,Abbotsford - Mission,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,85,0.023066486
BC,Abbotsford - Mission,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,20775,1.000240674
BC,Abbotsford - Mission,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,19390,0.933333333
BC,Abbotsford - Mission,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,665,0.032009627
BC,Abbotsford - Mission,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,725,0.034897714
BC,Vancouver,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,43540,1.000114837
BC,Vancouver,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,985,0.022622876
BC,Vancouver,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,40295,0.925470831
BC,Vancouver,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,2265,0.05202113
BC,Vancouver,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,67235,0.999925634
BC,Vancouver,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,9305,0.138395181
BC,Vancouver,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,57555,0.856027367
BC,Vancouver,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,370,0.005503086
BC,Vancouver,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,71340,1
BC,Vancouver,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,21550,0.302074572
BC,Vancouver,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,49380,0.692178301
BC,Vancouver,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,410,0.005747126
BC,Vancouver,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,73110,1
BC,Vancouver,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,32565,0.445424703
BC,Vancouver,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,40045,0.547736288
BC,Vancouver,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,500,0.00683901
BC,Vancouver,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,73065,0.999931568
BC,Vancouver,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,41510,0.568124273
BC,Vancouver,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,31110,0.42578526
BC,Vancouver,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,440,0.006022035
BC,Vancouver,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,69510,0.999856136
BC,Vancouver,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,46690,0.671701913
BC,Vancouver,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,22450,0.322975111
BC,Vancouver,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,360,0.005179111
BC,Vancouver,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,66095,1.000075649
BC,Vancouver,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,48530,0.734246161
BC,Vancouver,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,17215,0.260458431
BC,Vancouver,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,355,0.005371057
BC,Vancouver,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,60330,1
BC,Vancouver,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,47620,0.789325377
BC,Vancouver,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,12365,0.204956075
BC,Vancouver,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,345,0.005718548
BC,Vancouver,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,54515,0.999908282
BC,Vancouver,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,45205,0.829221315
BC,Vancouver,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,9050,0.166009355
BC,Vancouver,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,255,0.004677612
BC,Vancouver,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,49305,1.00010141
BC,Vancouver,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,42240,0.856708245
BC,Vancouver,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,6830,0.138525505
BC,Vancouver,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,240,0.00486766
BC,Vancouver,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,332855,0.999984978
BC,Vancouver,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,312220,0.938006039
BC,Vancouver,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,18650,0.056030404
BC,Vancouver,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,1980,0.005948536
BC,Squamish,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,205,0.902439024
BC,Squamish,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,0,0
BC,Squamish,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,185,0.902439024
BC,Squamish,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Squamish,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,285,0.947368421
BC,Squamish,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,30,0.105263158
BC,Squamish,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,240,0.842105263
BC,Squamish,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Squamish,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,405,0.962962963
BC,Squamish,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,115,0.283950617
BC,Squamish,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,275,0.679012346
BC,Squamish,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Squamish,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,430,0.976744186
BC,Squamish,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,220,0.511627907
BC,Squamish,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,200,0.465116279
BC,Squamish,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Squamish,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,380,1
BC,Squamish,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,205,0.539473684
BC,Squamish,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,175,0.460526316
BC,Squamish,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Squamish,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,585,0.965811966
BC,Squamish,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,385,0.658119658
BC,Squamish,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,180,0.307692308
BC,Squamish,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Squamish,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,540,0.981481481
BC,Squamish,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,380,0.703703704
BC,Squamish,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,150,0.277777778
BC,Squamish,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Squamish,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,455,0.978021978
BC,Squamish,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,330,0.725274725
BC,Squamish,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,115,0.252747253
BC,Squamish,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Squamish,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,520,0.990384615
BC,Squamish,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,435,0.836538462
BC,Squamish,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,80,0.153846154
BC,Squamish,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Squamish,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,465,1
BC,Squamish,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,365,0.784946237
BC,Squamish,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,100,0.215053763
BC,Squamish,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Squamish,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,3105,0.99194847
BC,Squamish,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,2910,0.937198068
BC,Squamish,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,170,0.054750403
BC,Squamish,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
BC,Victoria,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,5420,1
BC,Victoria,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,120,0.022140221
BC,Victoria,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,4930,0.909594096
BC,Victoria,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,370,0.068265683
BC,Victoria,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,11065,0.999548125
BC,Victoria,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,1360,0.122910077
BC,Victoria,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,9510,0.859466787
BC,Victoria,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,190,0.017171261
BC,Victoria,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,13140,0.999619482
BC,Victoria,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,3820,0.290715373
BC,Victoria,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,9045,0.688356164
BC,Victoria,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,270,0.020547945
BC,Victoria,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,13230,0.999244142
BC,Victoria,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,6345,0.479591837
BC,Victoria,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,6500,0.491307634
BC,Victoria,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,375,0.028344671
BC,Victoria,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,13705,1
BC,Victoria,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,8860,0.646479387
BC,Victoria,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,4535,0.330901131
BC,Victoria,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,310,0.022619482
BC,Victoria,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,12990,0.999615089
BC,Victoria,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,9685,0.745573518
BC,Victoria,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,3035,0.233641263
BC,Victoria,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,265,0.020400308
BC,Victoria,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,11555,1.000432713
BC,Victoria,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,9100,0.787537862
BC,Victoria,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,2260,0.195586326
BC,Victoria,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,200,0.017308524
BC,Victoria,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,11110,1
BC,Victoria,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,9250,0.832583258
BC,Victoria,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,1700,0.153015302
BC,Victoria,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,160,0.01440144
BC,Victoria,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,9855,1
BC,Victoria,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,8435,0.855910705
